Bill,Fir Start Date,Bill Date,Accounting Date,Due Date,Total,Total Currency,Outstanding,Outstanding Currency,Country,Operator,Operator Ref ID,Call Sign,Aircraft Registration,Origin ICAO Code,Origin IATA Code,Destination ICAO Code,Destination IATA Code,Aircraft Manufacturer,Aircraft Model,Aircraft Model ICAO Code,Aircraft Model MTOW (kg),Fir Started,Fir Ended,Duration,Flight ID,Flight Segment ID,Flight Segment Observed Point Count,Flight Segment Point Count,Flight Segment Duration Seconds,Flight Duration Seconds,Flight Length Km,Flight Path Observed Point Count,Flight Path Point Count,Manually Updated,Flight Takeoff,Flight Landing,Departure Scheduled Utc,Arrival Scheduled Utc
NTKJK2XPH2,2024-07-11 20:40:00 UTC,,,,345.00,USD,345.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH690,ETBAI,HAAB,ADD,VOBL,BLR,BOEING,BOEING 737 MAX 8,B38M,82191.0,2024-07-11 @ 20:40 UTC,2024-07-11 @ 20:40 UTC,00:00:00,b4c639ed-0ca9-4b73-a3cf-d4c580a5a322,75aede5f-53e0-4ab5-902b-96750417989a,4,4,0,22320,4589.67,94,94,false,2024-07-11 20:28:00 UTC,2024-07-12 02:40:00 UTC,2024-07-11 20:00:00 UTC,2024-07-12 02:40:00 UTC
ULU9AFP9UZ,2024-07-30 07:35:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE725,A6ECU,OMDB,DXB,HTDA,DAR,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-30 @ 07:35 UTC,2024-07-30 @ 09:28 UTC,01:53:00,93417ea1-5315-4ef2-bcb4-cd2a44409c2c,6124d979-3360-4b5f-835a-8cd73550eb8f,30,30,6780,17460,4187.85,105,105,false,2024-07-30 05:59:00 UTC,2024-07-30 10:50:00 UTC,2024-07-30 05:30:00 UTC,2024-07-30 10:55:00 UTC
U23VQ9HTCL,2024-07-30 04:22:00 UTC,,,,345.00,USD,345.00,USD,Somalia,INTERGLOBE AVIATION PRIVATE LTD (T/A INDIGO),EYJ3FARPKX,IGO1854,VTIIZ,HKJK,NBO,VABB,BOM,AIRBUS,AIRBUS A-320neo,A20N,79000.0,2024-07-30 @ 04:22 UTC,2024-07-30 @ 09:08 UTC,04:46:00,65ffd82d-e5ef-4215-a5ce-c05d35dcc353,c40cc185-d8ba-489f-9ce7-f97d6acb786e,34,34,17160,20820,4645.36,90,90,false,2024-07-30 03:57:00 UTC,2024-07-30 09:44:00 UTC,2024-07-30 03:40:00 UTC,2024-07-30 10:05:00 UTC
HP23T3TPQM,2024-07-30 11:27:00 UTC,,,,395.00,USD,395.00,USD,Somalia,AIR MAURITIUS LIMITED,E9VVF7HATN,MAU17,3BNCE,LFPG,CDG,FIMP,MRU,AIRBUS,AIRBUS A-350-900 XWB,A359,268000.0,2024-07-30 @ 11:27 UTC,2024-07-30 @ 11:27 UTC,00:00:00,22774f61-5a4f-47c6-81a3-9fc4a7fb9c38,08f3aa3e-0e51-4a3a-964f-92fc3266e646,1,2,0,13080,9610.01,187,188,false,2024-07-30 07:54:00 UTC,2024-07-30 11:32:00 UTC,2024-07-29 19:10:00 UTC,2024-07-30 06:25:00 UTC
3U2UVT3XPD,2024-07-30 07:06:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE706,A6ENL,FSIA,SEZ,OMDB,DXB,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-30 @ 07:06 UTC,2024-07-30 @ 07:06 UTC,00:00:00,f9a16889-26c6-4b72-ae28-7d4bd49bdbd2,2d6170c2-d9ac-4b4d-a79d-4f43f60cac98,2,2,0,14700,3467.09,96,96,false,2024-07-30 04:49:00 UTC,2024-07-30 08:54:00 UTC,2024-07-30 04:15:00 UTC,2024-07-30 08:45:00 UTC
U74Y2PWLZ3,2024-07-30 15:01:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EL AL - ISRAEL AIRLINES LTD.,VVYM9N3KFU,ELY084,4XECB,VTBS,BKK,LLBG,TLV,BOEING,BOEING 777-200,B772,247210.0,2024-07-30 @ 15:01 UTC,2024-07-30 @ 16:19 UTC,01:18:00,11c2f702-c738-423a-8a0f-5215e3178a69,46acb0ba-7a7b-4ec2-88a1-6d5a3b632b60,6,6,4680,35820,9837.01,175,176,false,2024-07-30 09:49:00 UTC,2024-07-30 19:46:00 UTC,2024-07-30 09:05:00 UTC,2024-07-30 19:40:00 UTC
XEYQZKXHJA,2024-07-30 02:07:00 UTC,,,,395.00,USD,395.00,USD,Somalia,ETHIOPIAN AIRLINES CORPORATION,XU4PWEKVF7,ETH637,ETAQL,,,HAAB,ADD,BOEING,BOEING Dreamliner (Srs.8),B788,228000.0,2024-07-30 @ 02:07 UTC,2024-07-30 @ 02:07 UTC,00:00:00,6252e436-8238-4de1-afb8-430023fb47b5,479cbc9f-7189-4f6d-aa7d-4036feea7e13,4,4,0,30360,7697.35,257,257,false,2024-07-29 17:55:00 UTC,2024-07-30 02:21:00 UTC,2024-07-29 17:50:00 UTC,2024-07-30 03:05:00 UTC
H4JYTLY7CH,2024-07-30 08:52:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE55V,A6EGM,OMDB,DXB,,,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-30 @ 08:52 UTC,2024-07-30 @ 08:52 UTC,00:00:00,04d31a0f-8996-4c17-8619-a92b7ae2e64c,fa128428-b855-457b-9a76-d09cf0a1f9ef,2,2,0,15840,4088.32,95,95,false,2024-07-30 07:23:00 UTC,2024-07-30 11:47:00 UTC,,
3DJVX3QXAN,2024-07-31 00:16:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE5QL,A6ENK,OMDB,DXB,FSIA,SEZ,BOEING,BOEING 777-300ER,B77W,351500.0,2024-07-31 @ 00:16 UTC,2024-07-31 @ 00:16 UTC,00:00:00,52b32c40-be1e-4d77-9ee5-0f00c5704174,5a2c209a-4f46-4db9-8e2a-7f76066e44a4,2,2,0,14160,3363.43,82,82,false,2024-07-30 22:42:00 UTC,2024-07-31 02:38:00 UTC,2024-07-30 22:15:00 UTC,2024-07-31 02:50:00 UTC
M9NHUKC2QC,2024-07-30 22:39:00 UTC,,,,395.00,USD,395.00,USD,Somalia,EMIRATES,X4MJMENRMC,UAE788,A6EGW,DIAP,ABJ,OMDB,DXB,BOEING,BOEING 777-300,B773,299370.0,2024-07-30 @ 22:39 UTC,2024-07-31 @ 00:25 UTC,01:46:00,605d868b-a88f-4899-90eb-c493b3998848,f06737b4-d1c2-454e-b5e9-05aad84a02ae,2,2,6360,40680,7946.12,194,194,false,2024-07-30 15:02:00 UTC,2024-07-31 02:20:00 UTC,2024-07-30 17:20:00 UTC,2024-07-31 02:10:00 UTC
